813 772 92 47 0
822 790 65 58 0
828 794 70 59 0
830 796 75 59 0
750 767 88 60 0
796 796 64 60 0
806 744 128 43 0
799 851 37 77 2
838 856 56 64 0
821 861 50 94 0
815 865 46 59 1
826 864 71 68 2
831 871 56 71 0
835 863 58 60 0
850 866 67 40 0
840 845 89 40 0
749 779 136 22 56
784 805 81 36 39
808 817 72 43 11
792 811 67 39 12
799 814 121 26 13
821 830 96 33 19
843 851 67 48 12
827 775 108 32 0
833 582 165 1 2
835 675 140 14 0
835 696 143 23 327
832 754 110 32 49
800 699 85 57 5
784 743 73 15 10
808 766 54 31 4
864 857 52 41 0
633 560 42 26 0
752 705 58 36 11
779 730 62 23 5
781 731 51 35 0
784 735 61 31 1
766 589 110 32 2
771 591 129 25 0
772 608 107 28 3
799 721 107 18 34
809 667 105 13 8
813 642 117 13 0
810 346 133 2 0
815 526 135 14 1
805 695 63 26 3
794 697 57 35 19
799 718 62 27 16
793 726 67 37 16
816 764 57 41 9
817 759 58 26 17
821 763 71 39 21
824 767 65 40 6
825 771 59 36 17
831 774 62 39 14
830 778 63 35 10
827 779 52 35 12
829 772 68 34 10
832 764 62 30 11
827 761 67 23 13
829 731 65 20 14
825 748 57 15 16
829 749 70 27 16
830 753 74 26 16
833 757 75 26 16
830 758 72 26 15
831 760 71 26 16
828 778 55 23 8
830 776 62 32 9
824 778 71 29 10
835 783 68 28 10
835 782 62 29 10
834 786 66 36 8
